City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
187,santa teresa del tuy,10.2341,-66.6631,85.91,94,95,2.73,VE,1690317926
188,port elizabeth,-33.918,25.5701,52.09,87,40,5.75,ZA,1690317805
189,natal,-5.795,-35.2094,81.25,65,0,16.11,BR,1690317921
190,nelson bay,-32.7167,152.15,52.0,99,7,7.0,AU,1690317907
191,lautoka,-17.6167,177.4667,71.46,88,100,8.05,FJ,1690317926
192,retreat,38.8245,-85.8533,90.95,59,1,6.98,US,1690317926
193,behshahr,36.6923,53.5526,78.75,84,78,9.93,IR,1690317926
194,guerrero negro,27.9769,-114.0611,81.82,48,31,16.44,MX,1690317926
195,kralendijk,12.15,-68.2667,85.98,70,20,4.61,BQ,1690317927
196,carnarvon,-24.8667,113.6333,62.65,60,46,16.96,AU,1690317811
197,constantia,44.1833,28.65,77.7,69,66,22.64,RO,1690317790
198,kirakira,-10.4544,161.9205,79.18,89,82,9.37,SB,1690317862
199,puerto gaitan,4.3133,-72.0816,86.23,62,18,6.46,CO,1690317927
200,longyearbyen,78.2186,15.6401,53.44,71,40,8.05,SJ,1690317802
201,port lincoln,-34.7333,135.8667,51.26,72,0,8.19,AU,1690317772
202,corumba,-19.0092,-57.6533,85.71,45,0,6.91,BR,1690317928
203,ardea,41.6123,12.5143,80.4,66,0,17.27,IT,1690317928
204,yuzhno-sakhalinsk,46.9581,142.7337,69.42,94,75,7.0,RU,1690317928
205,broken hill,-31.95,141.4333,45.36,70,0,7.25,AU,1690317928
206,san antonio de pale,-1.4014,5.6325,73.08,89,34,9.46,GQ,1690317772
207,la foa,-21.7108,165.8276,66.85,62,30,11.63,NC,1690317929
208,ugbokpo,7.6565,7.8664,75.67,91,99,3.89,NG,1690317929
209,itu,-23.2642,-47.2992,77.92,45,15,3.09,BR,1690317929
210,macapa,0.0389,-51.0664,89.58,66,40,11.5,BR,1690317929
211,usogorsk,63.4106,48.6872,55.27,97,100,2.77,RU,1690317929
212,shahr-e babak,30.1165,55.1186,80.98,25,27,7.47,IR,1690317929
213,surgut,61.25,73.4167,59.18,100,0,4.47,RU,1690317874
214,ndioum,16.5129,-14.6471,99.12,35,88,7.94,SN,1690317930
215,zahedan,29.4963,60.8629,85.91,37,0,11.5,IR,1690317930
216,merritt,50.1123,-120.7942,63.32,48,58,3.0,CA,1690317930
217,callao,-12.0667,-77.15,70.72,73,100,11.5,PE,1690317650
218,iskateley,67.6803,53.1512,58.68,77,23,7.78,RU,1690317930
219,luanco,43.6152,-5.7934,67.48,74,21,6.96,ES,1690317930
220,jackson,42.4165,-122.8345,87.37,35,0,5.99,US,1690317931
221,sabang,5.8933,95.3214,82.87,77,94,20.2,ID,1690317931
222,pachino,36.7186,15.0907,85.05,60,0,11.59,IT,1690317931
223,tarko-sale,64.9225,77.785,65.1,88,99,10.2,RU,1690317931
224,sassnitz,54.5167,13.65,57.79,66,75,18.72,DE,1690317931
225,nizao,18.25,-70.2,93.27,59,100,14.97,DO,1690317931
226,la pesa,7.4954,-72.3818,56.57,83,89,3.4,VE,1690317931
227,alesund,62.4723,6.1549,61.9,93,75,9.22,NO,1690317932
228,al ghayzah,16.2079,52.176,77.58,88,100,12.08,YE,1690317932
229,tura,25.5198,90.2201,74.82,97,94,5.48,IN,1690317828
230,lhasa,29.65,91.1,53.83,87,98,4.27,CN,1690317932
231,debre tabor,11.85,38.0167,53.29,96,100,3.36,ET,1690317932
232,tazovsky,67.4667,78.7,54.16,78,34,10.33,RU,1690317881
233,pisco,-13.7,-76.2167,71.65,68,0,17.27,PE,1690317933
234,qamdo,31.1667,97.2333,40.71,87,100,1.66,CN,1690317933
235,ayancik,41.9447,34.5861,72.66,60,0,5.84,TR,1690317933
236,ebon,4.582,168.6964,82.78,75,76,2.84,MH,1690317933
237,ashland,40.8167,-82.2665,84.97,65,0,5.86,US,1690317933
238,kertih,4.5141,103.4483,77.02,94,100,0.0,MY,1690317934
239,qaqortoq,60.7167,-46.0333,43.83,88,83,4.92,GL,1690317792
240,noumea,-22.2763,166.4572,69.01,99,95,16.26,NC,1690317846
241,afaahiti,-17.75,-149.2833,80.47,81,0,15.23,PF,1690317934
242,urumqi,43.801,87.6005,79.75,28,0,2.24,CN,1690317935
243,faribault,44.295,-93.2688,94.98,48,0,11.5,US,1690317677
244,chibougamau,49.9168,-74.3659,73.02,43,75,11.81,CA,1690317935
245,petropavlovsk-kamchatsky,53.0452,158.6483,59.59,94,20,4.47,RU,1690317759
246,guiuan,11.0333,125.7247,83.88,75,100,22.59,PH,1690317935
247,cooper's town,26.8667,-77.5167,85.23,69,88,11.36,BS,1690317936
248,murzuq,25.9155,13.9184,93.78,11,10,12.06,LY,1690317936
249,dingzhou,38.5131,114.9956,77.11,78,2,3.83,CN,1690317936
250,uliastay,47.7417,96.8444,49.53,67,1,4.72,MN,1690317937
251,vilyuchinsk,52.9306,158.4028,61.07,76,40,2.57,RU,1690317861
252,can giuoc,10.6167,106.6667,77.04,91,100,5.46,VN,1690317938
253,yung shue wan,22.2333,114.1167,88.57,79,74,10.63,HK,1690317938
254,mccook,40.2019,-100.6257,99.05,46,0,8.05,US,1690317938
255,sinop,41.7711,34.8709,62.96,55,0,7.58,TR,1690317919
256,kapuskasing,49.4169,-82.4331,78.89,36,75,16.11,CA,1690317750
257,dwarka,22.2394,68.9678,81.91,84,80,16.6,IN,1690317939
258,el dorado,38.7666,-120.5177,93.63,23,1,1.99,US,1690317828
259,aasiaat,68.7098,-52.8699,38.91,91,90,5.88,GL,1690317758
260,portel,-1.9356,-50.8211,84.83,54,58,2.73,BR,1690317939
261,puerto aysen,-45.4,-72.7,42.84,87,75,6.91,CL,1690317940
262,wenchang,30.904,118.4887,79.11,86,100,2.89,CN,1690317940
263,merowe,18.4833,31.8167,95.81,12,12,7.74,SD,1690317940
264,borogontsy,62.6683,131.1683,57.63,70,59,5.01,RU,1690317890
265,new norfolk,-42.7826,147.0587,55.89,73,100,9.4,AU,1690317899
266,dawei,14.0833,98.2,75.6,95,100,0.6,MM,1690317940
267,ambon,-3.6954,128.1814,79.88,95,40,5.75,ID,1690317941
268,mount pearl,47.5166,-52.7813,79.14,61,75,9.22,CA,1690317818
269,eastham,41.8301,-69.9739,84.6,71,0,8.05,US,1690317941
270,phu kradueng,16.8843,101.8847,74.55,92,78,3.49,TH,1690317941
271,lagoa,39.05,-27.9833,70.56,77,2,10.09,PT,1690317941
272,kyakhta,50.3508,106.4494,56.35,88,100,3.13,RU,1690317941
273,tucuma,-0.1833,-50.05,82.4,73,94,7.16,BR,1690317941
274,greymouth,-42.4667,171.2,41.56,87,40,5.66,NZ,1690317942
275,los frentones,-26.4077,-61.4137,63.16,66,100,2.26,AR,1690317942
276,yuanping,38.7153,112.7575,67.93,80,10,1.03,CN,1690317942
277,fort bragg,35.139,-79.006,95.81,44,75,1.99,US,1690317785
278,asau,46.4333,26.4,65.32,82,89,3.87,RO,1690317942
279,mandalgovi,45.7625,106.2708,58.95,83,4,14.38,MN,1690317942
280,male,4.1748,73.5089,85.95,84,75,6.91,MV,1690317942
281,longjing,42.7714,129.4233,70.99,87,100,2.82,CN,1690317934
282,dudinka,69.4058,86.1778,58.62,62,0,11.1,RU,1690317836
283,atafu village,-8.5421,-172.5159,84.31,70,12,19.57,TK,1690317943
284,amga,60.8953,131.9608,64.74,86,0,2.73,RU,1690317943
285,tsiombe,-25.3,45.4833,62.47,60,35,5.97,MG,1690317943
286,jayapura,-2.5333,140.7,76.39,91,89,3.96,ID,1690317943
287,pampa,35.5362,-100.9599,104.95,17,70,22.24,US,1690317943
288,tralee,52.2704,-9.7026,56.07,91,8,3.62,IE,1690317943
289,mana,5.6592,-53.7767,81.12,82,42,9.33,GF,1690317944
290,tual,-5.6667,132.75,77.56,80,100,20.24,ID,1690317853
291,merizo village,13.2658,144.6691,82.96,94,100,16.22,GU,1690317944
292,kirensk,57.7853,108.1119,60.69,98,94,3.33,RU,1690317849
293,talavera de la reina,39.9635,-4.8308,76.3,22,0,4.45,ES,1690317944
294,inarajan village,13.2736,144.7484,83.37,94,100,16.11,GU,1690317944
295,port moresby,-9.4431,147.1797,67.42,94,40,3.44,PG,1690317776
296,yuci,37.6803,112.7319,74.95,64,0,6.71,CN,1690317944
297,dongobesh,-4.0667,35.3833,55.81,68,32,10.18,TZ,1690317945
298,verkhniye tatyshly,56.2912,55.8575,59.41,69,61,4.88,RU,1690317945
299,kingston,17.997,-76.7936,90.55,67,20,24.16,JM,1690317727
300,raduzhny,62.0961,77.475,60.67,92,71,4.36,RU,1690317945
301,kavarna,43.4333,28.3333,77.41,87,70,17.38,BG,1690317945
302,taunggyi,20.7833,97.0333,62.87,97,41,2.26,MM,1690317945
303,tripoli,32.8752,13.1875,94.91,27,0,14.76,LY,1690317945
304,namtsy,62.7161,129.6658,58.5,58,12,7.56,RU,1690317945
305,severo-yeniseyskiy,60.3725,93.0408,57.43,96,68,2.57,RU,1690317946
